,Fuel Type Code,Station Name_x,Street Address,City,State,ZIP,Status Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network_x,Geocode Status,Latitude,Longitude,ID,EV Connector Types,Country,Access Code,Access Detail Code,Federal Agency Code,Facility Type,EV Pricing,REDC,County,Station Name_y,Level 2 Ports,Level 2 Locations,DCFC Ports,DCFC Locations,EV Network_y
430,ELEC,Parkit 27 N Moore Street - Tesla Destination,27  N Moore St,New York,NY,10013,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.720215,-74.007465,115074,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Parkit 27 N Moore Street - Tesla Destination,3,1,,,Tesla Destination
431,ELEC,iPark 455 Central Park West - Tesla Destination,27  W 105th St,New York,NY,10025,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.797875,-73.961228,115075,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,iPark 455 Central Park West - Tesla Destination,3,1,,,Tesla Destination
432,ELEC,Standard Parking 270 Greenwich - Tesla Destination,270 Greenwich St,New York,NY,10007,E,24 hours daily; pay lot; see valet for access,,3,,,Tesla Destination,200-9,40.715543,-74.011435,115076,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Standard Parking 270 Greenwich - Tesla Destination,3,1,,,Tesla Destination
433,ELEC,Icon Parking 279 East 65th Street - Tesla Destination,279 E 65th St,New York,NY,10065,E,24 hours daily; pay lot; see valet for access,,3,,,Tesla Destination,200-8,40.764758,-73.962042,115077,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 279 East 65th Street - Tesla Destination,3,1,,,Tesla Destination
434,ELEC,ABM Parking Services 285 W 50th Street LLC - Tesla Destination,285 W 50th St,New York,NY,10019,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.762337,-73.985727,115078,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,ABM Parking Services 285 W 50th Street LLC - Tesla Destination,3,1,,,Tesla Destination
435,ELEC,Parkright 39 E 29th Street - Tesla Destination,29 East 29th St,New York,NY,10016,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.744551,-73.984535,115079,J1772 TESLA,US,public,,,HOTEL,Free,New York City,New York County,Parkright 39 E 29th Street - Tesla Destination,3,1,,,Tesla Destination
436,ELEC,iPark 3 E 67th Street - Tesla Destination,3 E 67th St,New York,NY,10065,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.769386,-73.969137,115080,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,iPark 3 E 67th Street - Tesla Destination,3,1,,,Tesla Destination
437,ELEC,Icon Parking 30 W 63rd St - Tesla Destination,30 W 63rd St,New York,NY,10023,E,24 hours daily; see valet for access,,2,,,Tesla Destination,200-9,40.770769,-73.981573,115081,TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 30 W 63rd St - Tesla Destination,2,1,,,Tesla Destination
438,ELEC,GGMC Parking Connaught - Tesla Destination,300  E 54th St,New York,NY,10022,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.756956,-73.966399,115082,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,GGMC Parking Connaught - Tesla Destination,3,1,,,Tesla Destination
439,ELEC,Icon Parking 300 E 59th Street - Tesla Destination,300 E 59th St,New York,NY,10022,E,24 hours daily; see front desk for access,,3,,,Tesla Destination,200-8,40.760421,-73.964418,115083,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 300 E 59th Street - Tesla Destination,3,1,,,Tesla Destination
440,ELEC,GGMC Parking E 74th Street - Tesla Destination,300  E 74th St,New York,NY,10021,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.769925,-73.957476,115084,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,GGMC Parking E 74th Street - Tesla Destination,3,1,,,Tesla Destination
441,ELEC,Parkright 300 E 77th St - Tesla Destination,300 East 77th St,New York,NY,10075,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.771689,-73.955816,115085,J1772 TESLA,US,public,,,HOTEL,Free,New York City,New York County,Parkright 300 E 77th St - Tesla Destination,3,1,,,Tesla Destination
442,ELEC,Icon Parking 301 E 57 Street - Tesla Destination,301 E 57th St,New York,NY,10022,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.759484,-73.965206,115086,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 301 E 57 Street - Tesla Destination,3,1,,,Tesla Destination
443,ELEC,Parkit 301 E 64th - Tesla Destination,301 E 64th St,New York,NY,10065,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.76389,-73.961892,115087,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Parkit 301 E 64th - Tesla Destination,3,1,,,Tesla Destination
444,ELEC,Icon Parking 308 Greenwich - Tesla Destination,308 Greenwich St,New York,NY,10013,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.717568,-74.011042,115088,J1772 TESLA,US,public,,,HOTEL,Free,New York City,New York County,Icon Parking 308 Greenwich - Tesla Destination,3,1,,,Tesla Destination
445,ELEC,Parkit 310 E 11th Street - Tesla Destination,310  E 11th St,New York,NY,10003,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.729871,-73.98568,115089,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Parkit 310 E 11th Street - Tesla Destination,3,1,,,Tesla Destination
446,ELEC,Waldorf Astoria New York - Tesla Destination,310 Park Ave,New York,NY,10022,E,24 hours daily; for customer use only; see valet for access,,2,,,Tesla Destination,200-8,40.757047,-73.974455,115090,TESLA,US,public,,,HOTEL,Free,New York City,New York County,Waldorf Astoria New York - Tesla Destination,2,1,,,Tesla Destination
447,ELEC,Quik Park 311 West Broadway LLC - Tesla Destination,311 W Broadway,New York,NY,10013,E,24 hours daily; see valet for access,,2,,,Tesla Destination,200-9,40.721638,-74.003781,115091,TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Quik Park 311 West Broadway LLC - Tesla Destination,2,1,,,Tesla Destination
448,ELEC,Icon Parking 322 23rd Street - Tesla Destination,318-322  E 23rd St,New York,NY,10010,E,24 hours daily; pay lot; see valet for access,,3,,,Tesla Destination,200-8,40.737362,-73.980167,115092,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 322 23rd Street - Tesla Destination,3,1,,,Tesla Destination
449,ELEC,Quik Park 32 Debrosses LLC - Tesla Destination,32 Debrosses St,New York,NY,10013,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.723702,-74.010335,115093,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Quik Park 32 Debrosses LLC - Tesla Destination,3,1,,,Tesla Destination
450,ELEC,Glenwood Belmont Parking - Tesla Destination,320 E 46th St,New York,NY,10021,E,24 hours daily; see valet for access,,2,,,Tesla Destination,200-8,40.751784,-73.969463,115094,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Glenwood Belmont Parking - Tesla Destination,2,1,,,Tesla Destination
451,ELEC,Champion Parking W 57th Street - Tesla Destination,320 W 57th St,New York,NY,10019,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.767194,-73.984544,115095,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Champion Parking W 57th Street - Tesla Destination,3,1,,,Tesla Destination
452,ELEC,GGMC Parking 8 E 33rd St Garage - Tesla Destination,325  East 5th Ave,New York,NY,10016,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.74733,-73.984857,115096,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,GGMC Parking 8 E 33rd St Garage - Tesla Destination,3,1,,,Tesla Destination
453,ELEC,Icon Parking E 48th Street - Tesla Destination,329 E 48th St,New York,NY,10017,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.75323,-73.96799,115097,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking E 48th Street - Tesla Destination,3,1,,,Tesla Destination
454,ELEC,Icon Parking 330 E 39th Street - Tesla Destination,330  E 39th St,New York,NY,10016,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.747123,-73.972257,115098,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 330 E 39th Street - Tesla Destination,3,1,,,Tesla Destination
455,ELEC,Icon Parking 330 W 58th Street - Tesla Destination,330  W 58th St,New York,NY,10019,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.767725,-73.983646,115099,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 330 W 58th Street - Tesla Destination,3,1,,,Tesla Destination
456,ELEC,Apple Parking 332 W 11th Street - Tesla Destination,332 W 11th St,New York,NY,10014,E,24 hours daily,,3,,,Tesla Destination,200-9,40.735404,-74.007717,115100,TESLA,US,public,CALL,,PAY_GARAGE,Free,New York City,New York County,Apple Parking 332 W 11th Street - Tesla Destination,3,1,,,Tesla Destination
457,ELEC,iPark NYC 333 E 38th NYU - Tesla Destination,333 E 38th St,New York,NY,10016,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-8,40.746891,-73.972547,115101,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,iPark NYC 333 E 38th NYU - Tesla Destination,3,1,,,Tesla Destination
458,ELEC,Standard Parking Gateway Plaza Garage - Tesla Destination,339 South End Ave,New York,NY,10280,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-8,40.710652,-74.016396,115102,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Standard Parking Gateway Plaza Garage - Tesla Destination,3,1,,,Tesla Destination
459,ELEC,MPG 340 East 93rd - Tesla Destination,340 E 93rd St,New York,NY,10128,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.781375,-73.946721,115103,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,MPG 340 East 93rd - Tesla Destination,3,1,,,Tesla Destination
460,ELEC,Rapidpark 340 94th Street - Tesla Destination,340 E 94th St,New York,NY,10128,E,24 hours daily,,3,,,Tesla Destination,200-8,40.781961,-73.946209,115104,J1772 TESLA,US,public,CALL,,PAY_GARAGE,Free,New York City,New York County,Rapidpark 340 94th Street - Tesla Destination,3,1,,,Tesla Destination
461,ELEC,iPark NYC 345 East Garage - Tesla Destination,345 East 80th St,New York,NY,10075,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.773471,-73.952304,115105,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,iPark NYC 345 East Garage - Tesla Destination,3,1,,,Tesla Destination
462,ELEC,Rapidpark 35 E 75th Street - Tesla Destination,35  E 75th St,New York,NY,10021,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.773815,-73.963696,115106,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Rapidpark 35 E 75th Street - Tesla Destination,3,1,,,Tesla Destination
463,ELEC,"The Carlyle Hotel, A Rosewood Hotel - Tesla Destination",35  E 76th St,New York,NY,10021,E,24 hours daily; for customer use only; see valet for access,,2,,,Tesla Destination,200-9,40.774308,-73.963182,115107,J1772 TESLA,US,public,,,HOTEL,Free,New York City,New York County,"The Carlyle Hotel, A Rosewood Hotel - Tesla Destination",2,1,,,Tesla Destination
464,ELEC,Quik Park 82nd Street LLC - Tesla Destination,350 E. 82nd St,New York,NY,10028,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-9,40.774316,-73.951909,115108,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Quik Park 82nd Street LLC - Tesla Destination,3,1,,,Tesla Destination
465,ELEC,GGMC Parking 350 W 43rd Street Garage - Tesla Destination,350 West 43rd St,New York,NY,10036,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.758503,-73.991285,115109,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,GGMC Parking 350 W 43rd Street Garage - Tesla Destination,3,1,,,Tesla Destination
466,ELEC,Rapidpark 351 East 83rd - Tesla Destination,351  E 83rd,New York,NY,10028,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.775208,-73.950978,115110,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Rapidpark 351 East 83rd - Tesla Destination,3,1,,,Tesla Destination
467,ELEC,Icon Parking 35-39 East 61st Street - Tesla Destination,35-39  E 61st St,New York,NY,10021,E,24 hours daily; pay lot; see valet for access,,3,,,Tesla Destination,200-8,40.764876,-73.970102,115111,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 35-39 East 61st Street - Tesla Destination,3,1,,,Tesla Destination
468,ELEC,Icon 376 Greenwich Street - Tesla Destination,376 Greenwich St,New York,NY,10013,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-8,40.719814,-74.010394,115112,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon 376 Greenwich Street - Tesla Destination,3,1,,,Tesla Destination
469,ELEC,iPark NYU 377 E 33rd Street - Tesla Destination,377 E 33rd St,New York,NY,10016,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-9,40.743382,-73.974251,115113,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,iPark NYU 377 E 33rd Street - Tesla Destination,3,1,,,Tesla Destination
470,ELEC,Icon Parking 111 8th Ave Parking - Tesla Destination,385  W 15th St,New York,NY,10011,E,24 hours daily; see valet for access,,4,,,Tesla Destination,200-8,40.741669,-74.004397,115114,TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 111 8th Ave Parking - Tesla Destination,4,1,,,Tesla Destination
472,ELEC,Icon Parking Wall Park - Tesla Destination,39  Exchange Pl,New York,NY,10005,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.706109,-74.010148,115116,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking Wall Park - Tesla Destination,3,1,,,Tesla Destination
473,ELEC,GGMC Parking Carnegie Garage - Tesla Destination,40 E 94th St,New York,NY,10128,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.785524,-73.95496,115117,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,GGMC Parking Carnegie Garage - Tesla Destination,3,1,,,Tesla Destination
474,ELEC,City Parking RL Mercer Street - Tesla Destination,40  Mercer St,New York,NY,10025,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.721244,-74.00092,115118,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,City Parking RL Mercer Street - Tesla Destination,3,1,,,Tesla Destination
475,ELEC,Icon Parking 40 W 26th Street - Tesla Destination,40 W 26th St,New York,NY,10010,E,24 hours daily,,3,,,Tesla Destination,200-8,40.743961,-73.989912,115119,J1772 TESLA,US,public,CALL,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 40 W 26th Street - Tesla Destination,3,1,,,Tesla Destination
476,ELEC,iPark NYC 400 E 35th NYU - Tesla Destination,400 E 35th St,New York,NY,10016,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-8,40.744093,-73.972689,115120,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,iPark NYC 400 E 35th NYU - Tesla Destination,3,1,,,Tesla Destination
477,ELEC,Icon Liberty View Parking - Tesla Destination,400 Murray St,New York,NY,10016,E,24 hours daily; see valet for access,,3,,,Tesla Destination,GPS,40.716079,-74.015929,115121,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Liberty View Parking - Tesla Destination,3,1,,,Tesla Destination
478,ELEC,Champion Parking 113 LLC - Tesla Destination,400 W 113th St,New York,NY,10025,E,24 hours daily; pay lot; see valet for access,,3,,,Tesla Destination,200-9,40.804007,-73.960887,115122,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Champion Parking 113 LLC - Tesla Destination,3,1,,,Tesla Destination
479,ELEC,Propark 401 W 110th Street - Tesla Destination,401 W 110th St,New York,NY,10025,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.802368,-73.961689,115123,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Propark 401 W 110th Street - Tesla Destination,3,1,,,Tesla Destination
480,ELEC,Parkit 403 Lafayette St. - Tesla Destination,403 Lafayette St,New York,NY,10003,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-9,40.728137,-73.992393,115124,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Parkit 403 Lafayette St. - Tesla Destination,3,1,,,Tesla Destination
481,ELEC,iPark 41 E 85th Street - Tesla Destination,41 E 85th St,New York,NY,10028,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.780305,-73.959091,115125,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,iPark 41 E 85th Street - Tesla Destination,3,1,,,Tesla Destination
482,ELEC,Rapidpark 411 W 55th Street - Tesla Destination,411 W 55th St,New York,NY,10019,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-9,40.767111,-73.987232,115126,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Rapidpark 411 W 55th Street - Tesla Destination,3,1,,,Tesla Destination
483,ELEC,GGMC Parking 415 E 79th - Tesla Destination,415 E 79th St,New York,NY,10075,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.772197,-73.95183,115127,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,GGMC Parking 415 E 79th - Tesla Destination,3,1,,,Tesla Destination
484,ELEC,Icon Parking Sutton 53 - Tesla Destination,417 E 53rd St,New York,NY,10022,E,24 hours daily; pay lot; see valet for access,,3,,,Tesla Destination,200-8,40.755371,-73.963368,115128,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking Sutton 53 - Tesla Destination,3,1,,,Tesla Destination
485,ELEC,Icon Parking Independent - Tesla Destination,417  E 71st St,New York,NY,10021,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-8,40.766976,-73.955645,115129,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking Independent - Tesla Destination,3,1,,,Tesla Destination
486,ELEC,GMC Parking 420 E 53rd - Tesla Destination,420 E 53rd St,New York,NY,10022,E,24 hours daily; pay lot; see valet for access,,1,,,Tesla Destination,200-8,40.755013,-73.963549,115130,TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,GMC Parking 420 E 53rd - Tesla Destination,1,1,,,Tesla Destination
487,ELEC,Sutton Place North Garage - Tesla Destination,420 E 54th St,New York,NY,10022,E,24 hours daily; pay lot; see valet for access,,2,,,Tesla Destination,200-9,40.755679,-73.963528,115131,TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Sutton Place North Garage - Tesla Destination,2,1,,,Tesla Destination
488,ELEC,imPark 422 E 79th Street - Tesla Destination,422  E 79th St,New York,NY,10075,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.771766,-73.951838,115132,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,imPark 422 E 79th Street - Tesla Destination,3,1,,,Tesla Destination
489,ELEC,Quik Park West 23rd Street Garage LLC - Tesla Destination,423-431  W 23rd St,New York,NY,10011,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-8,40.746762,-74.001428,115133,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Quik Park West 23rd Street Garage LLC - Tesla Destination,3,1,,,Tesla Destination
490,ELEC,iPark NYC 425 E 58th Street - Tesla Destination,425 E 58th St,New York,NY,10022,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-8,40.758766,-73.961406,115134,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,iPark NYC 425 E 58th Street - Tesla Destination,3,1,,,Tesla Destination
491,ELEC,City Parking E 61st Street - Tesla Destination,425 E 61st St,New York,NY,10065,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.760522,-73.959278,115135,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,City Parking E 61st Street - Tesla Destination,3,1,,,Tesla Destination
492,ELEC,ABM Parking 866 UN Plaza - Tesla Destination,430 E 49th St,New York,NY,10017,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-8,40.752516,-73.965347,115136,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,ABM Parking 866 UN Plaza - Tesla Destination,3,1,,,Tesla Destination
494,ELEC,iPark NYC 44 Elizabeth Street - Tesla Destination,44 Elizabeth St,New York,NY,10013,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-9,40.716947,-73.996472,115138,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,iPark NYC 44 Elizabeth Street - Tesla Destination,3,1,,,Tesla Destination
495,ELEC,Quik Park 86th St. LLC - Tesla Destination,444 E 86th St,New York,NY,10028,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-8,40.775975,-73.947732,115139,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Quik Park 86th St. LLC - Tesla Destination,3,1,,,Tesla Destination
496,ELEC,Rapidpark 480 Riverside (120th St) - Tesla Destination,480 Riverside Dr,New York,NY,10027,E,24 hours daily; pay lot; see valet for access,,3,,,Tesla Destination,200-8,40.811206,-73.963782,115140,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Rapidpark 480 Riverside (120th St) - Tesla Destination,3,1,,,Tesla Destination
497,ELEC,iPark NYC Central Harlem Garage Corp. - Tesla Destination,49 W 116th St,New York,NY,10026,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.801497,-73.94792,115141,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,iPark NYC Central Harlem Garage Corp. - Tesla Destination,3,1,,,Tesla Destination
498,ELEC,Icon Parking 5 E 22nd Street - Tesla Destination,5  E 22nd St,New York,NY,10010,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.740794,-73.988885,115142,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 5 E 22nd Street - Tesla Destination,3,1,,,Tesla Destination
499,ELEC,GGMC Parking Battery Place - Tesla Destination,50 Battery Pl,New York,NY,10280,E,24 hours daily; pay lot; see valet for access,,3,,,Tesla Destination,200-9,40.706643,-74.018095,115143,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,GGMC Parking Battery Place - Tesla Destination,3,1,,,Tesla Destination
500,ELEC,GGMC Parking 50 E 79th St Garage - Tesla Destination,50 E 79th St,New York,NY,10075,E,24 hours daily; see valet for access,,2,,,Tesla Destination,200-9,40.775932,-73.961937,115144,TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,GGMC Parking 50 E 79th St Garage - Tesla Destination,2,1,,,Tesla Destination
501,ELEC,MPG 500 West 30th - Tesla Destination,500 W 30th,New York,NY,10001,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.751987,-74.001701,115145,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,MPG 500 West 30th - Tesla Destination,3,1,,,Tesla Destination
502,ELEC,Roger Smith Hotel - Tesla Destination,501 Lexington Ave,New York,NY,10017,E,24 hours daily; for customer use only; see valet for access,,1,,,Tesla Destination,200-9,40.754735,-73.973361,115146,TESLA,US,public,,,HOTEL,Free,New York City,New York County,Roger Smith Hotel - Tesla Destination,1,1,,,Tesla Destination
503,ELEC,Icon Parking 51 W 22nd - Tesla Destination,51 W 22nd St,New York,NY,10010,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.742197,-73.992168,115147,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 51 W 22nd - Tesla Destination,3,1,,,Tesla Destination
504,ELEC,Icon Parking E 72nd Street - Tesla Destination,515 E 72nd St,New York,NY,10021,E,24 hours daily; see valet for access,,5,,,Tesla Destination,200-9,40.766857,-73.952647,115148,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking E 72nd Street - Tesla Destination,5,1,,,Tesla Destination
505,ELEC,Icon Parking 524 East 73rd - Tesla Destination,524 E 73rd St,New York,NY,10021,E,24 hours daily; for customer use only; see valet for access,,3,,,Tesla Destination,200-9,40.766741,-73.95193,115149,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 524 East 73rd - Tesla Destination,3,1,,,Tesla Destination
506,ELEC,GGMC Parking 51-53 E 76th St Carlyle Hotel - Tesla Destination,53  E 76th St,New York,NY,10021,E,24 hours daily; see valet for access,,2,,,Tesla Destination,200-8,40.774265,-73.96278,115150,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,GGMC Parking 51-53 E 76th St Carlyle Hotel - Tesla Destination,2,1,,,Tesla Destination
507,ELEC,iPark 530 E 80th Street - Tesla Destination,530 E 80th St,New York,NY,10075,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.771136,-73.948252,115151,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,iPark 530 E 80th Street - Tesla Destination,3,1,,,Tesla Destination
508,ELEC,MPG 530 West 30th - Tesla Destination,530 W 30th,New York,NY,10001,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.752558,-74.002736,115152,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,MPG 530 West 30th - Tesla Destination,3,1,,,Tesla Destination
509,ELEC,Icon Parking E 88th Street - Tesla Destination,536 E 88th St,New York,NY,10128,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-8,40.776302,-73.944521,115153,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking E 88th Street - Tesla Destination,3,1,,,Tesla Destination
510,ELEC,Icon Parking 54 Murray Street - Tesla Destination,54 Murray St,New York,NY,10007,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.714121,-74.009808,115154,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,Icon Parking 54 Murray Street - Tesla Destination,3,1,,,Tesla Destination
511,ELEC,Standard Parking 800 6th Ave - Tesla Destination,54 W 28th St,New York,NY,10001,E,24 hours daily; for customer use only,,3,,,Tesla Destination,200-8,40.745449,-73.989622,115155,J1772 TESLA,US,public,CALL,,PAY_GARAGE,Free,New York City,New York County,Standard Parking 800 6th Ave - Tesla Destination,3,1,,,Tesla Destination
512,ELEC,Loews Regency New York - Tesla Destination,540 Park Ave,New York,NY,10065,E,24 hours daily; pay lot; see valet for access,,3,,,Tesla Destination,200-9,40.764608,-73.969355,115156,J1772 TESLA,US,public,,,HOTEL,Free,New York City,New York County,Loews Regency New York - Tesla Destination,3,1,,,Tesla Destination
513,ELEC,MPG 543 W 110th Street Garage - Tesla Destination,543  W 110th St,New York,NY,10025,E,24 hours daily; see valet for access,,3,,,Tesla Destination,200-9,40.804167,-73.965894,115157,J1772 TESLA,US,public,,,PAY_GARAGE,Free,New York City,New York County,MPG 543 W 110th Street Garage - Tesla Destination,3,1,,,Tesla Destination
